Organization Name,Skill Set,No of Positions
ADLER SERVICES,"it hiring, IT Recruiter, IT Recruitment, technical recruitment, recruiter...",1
Abhracloud Softwares India Private Ltd,"Change Management, Servicenow, ITSM, ITIL, Service Management...",5
Anvayin Systems Pvt Ltd,"rest, development, css, html5, Eclipse, mobile, developing, HTML, bootstrap...",1
Anvayin Systems Pvt Ltd,"server, development, UX, c, software, android, mobile, developing...",1
Atria Convergence Technologies Ltd,"Enterprise Architecture, pmp, delivery manager, project manager...",2
Bharat Institutions- Division of Chinta Reddy,"Professor Activities, Communication Skills, Education, Providing Training...",1
Bizrights IP,"Team management, Sales, ISO 9001, Business Development Manager...",1
Bizrights IP,"Team management, Sales, ISO 9001, Intellectual property, IPR, Service sales...",1
Bombay Swadeshi Stores Limite,"Sales, Stock Management, Stock Control, Store Management...",3
Brainfuse,"Learning, education, Tutoring, mathematics, Online Tutor, Computer Science,...",50
COTELLIGENT INDIA PVT LTD,"Product Strategy, Product Development, Developing Marketing Strategies...",3
Cactus Communications Pvt. Ltd.,"editorial, chemistry, electronics, information technology, engineering...",6
Capgemini Technology Services India Limited,"Consultant 4, Disaster recovery, Subject Matter Expert...",1
Career Infosystem,"RFT, UFT, iSeries, Quality, AS400, UAT, Automation Testing...",1
Cognizant Technology Solutions India Ltd,"Business Process Outsourcing, Technology Solutions, Technology Consulting...",1
Compugain Solutions India Private Limited,"excel, balance sheet, mis reporting, trial balance, accounting, word...",1
Dell International Services India Private Limited,"C#, Software Development Life Cycle, Unit Testing, VSTS, ASP.Net...",1
Deloitte Consulting India Private Limited,"Advisory Services, ECC, Capacity Planning, NWDI, NetWeaver...",1
Deloitte Consulting India Private Limited,"Reporting Services, DTS, Unit Testing, MS Access, Project Management, SSRS,...",1
Deloitte Consulting India Private Limited,"Software Development, Project Management, Web Technologies, Javascript...",1
Deloitte Consulting India Private Limited,"data modeling., project management, PMP, pmo, VBA, business strategy...",1
Disha Outsourcing Pvt. Ltd.,"Copyright, Application support, Network design, Messaging, Customer support...",1
EC-Council,"information technology management, front end, project management, python...",1
ENERGYTECH GLOBAL PRIVATE LIMITED,"Openerp, Linux, Postgresql, Computer Science, Database Design...",1
Evision Technoserve Pvt Ltd,"MCSA, electronics, information technology, eee, microsoft certified, ece...",10
Evision Technoserve Pvt Ltd,"electronics, information technology, eee, ece, micro - controllers, plc...",10
Evision Technoserve Pvt Ltd,"electronics, it support, information technology, eee, ece, networking...",10
Evision Technoserve Pvt Ltd,"electronics, python, information technology, eee, ece, automation testing...",30
Evision Technoserve Pvt Ltd,"electronics, python, information technology, eee, ece, micro - controllers,...",10
FASTRA CORPORATION PRIVATE LIMITED,"Cism, Cyber Security, Cisa, Application Security, Project Management...",1
FASTRA CORPORATION PRIVATE LIMITED,"cc, software jobs, sap, ci, information technology jobs, sap hybris",5
Family Health Plan (TPA) Ltd,"jQuery, LINQ, Web technologies, Winforms, WCF, WPF, ASP.Net MVC...",1
GlobalData,"c#, asp.net mvc, information technology, web technologies, asp.net, .net...",10
Hetero Drugs Limited,"C#, CSS, Web Technologies, ASP.Net, .Net, HTML, MVC, JQuery, Ajax, SQL",5
Hetero Drugs Limited,"email marketing, software information technology business development, bd...",2
Humint Global,"Business Analyst, Senior Management, Data Modeling, Business Analysis...",1
INTERFACE CONSULTANCY SERVICES,"software skills, good communication skills, IT Skills, desktops skills...",2
Indmax IT Services Pvt Ltd,"Communication Skills, B Tech Fresher, Graduate Trainee, Software Trainee...",15
Inovies Consulting Pvt Ltd,"cold calling, information technology sales...",2
International Institute of Information Technology,"Counselor, Mentor, Trainer, Advisor, Educator, Teaching",1
International Institute of Information Technology,"record, teaching, Medical, Reimbursement, research",1
Invesco (India) Pvt Ltd,"Security Audit, Cyber Security, Vendor Audit, Penetration Testing...",1
Invesco (India) Pvt Ltd,"Software Development Life Cycle, Process Transition, Scrum Master, Agile...",1
Invesco (India) Pvt Ltd,"Unix, Change Management, Client Support, Connect Direct, Oracle SQL, Linux,...",1
Kanary Staffing Private Limited,"Automation, Arabic, OS, information technology, Arabian, Windows, IT...",1
Kanary Staffing Private Limited,"Automation, Arabic, OS, information technology, Arabian, automation testing...",10
M/s Bpk Tech Services India Pvt Ltd,"Software Developer, Software Development, jQuery, it programming, .Net...",15
Maanyam Business Solution Pvt. Ltd.,"information technology, business development, presales...",1
Micron Technology Operations India LLP,"Application Programming, Software Development, Web Technologies...",1
Micron Technology Operations India LLP,"CSS, Azure, Software Development, NoSQL, Javascript, .Net, HTML...",1
Micron Technology Operations India LLP,"Customer Service, Desktop Support, Computer Hardware, System Administration...",1
Micron Technology Operations India LLP,"Database Maintenance, High Availability, Shell Scripting, Web Technologies,...",1
Micron Technology Operations India LLP,"Development Testing, Design Development, Computer Science, Business Process...",1
Micron Technology Operations India LLP,"High Availability, Database Administration, SSRS, MS SQL Server...",1
Micron Technology Operations India LLP,"High Availability, Software Development, Shell Scripting...",1
Micron Technology Operations India LLP,"SAP ECC, Administration Management, Solution Delivery, Customer Focus, Data...",1
Micron Technology Operations India LLP,"SAP ECC, Service Level, Sap Portal, Disaster Recovery, NetWeaver, Sap Hana,...",1
Micron Technology Operations India LLP,"Service Improvement, User Support, Customer Support, Networking...",1
Micron Technology Operations India LLP,"TCP, Audio Visual, Architecture, IP, Computer Science, LAN, OSI Model...",1
Micron Technology Operations India LLP,"Technology Operations, Enterprise Architecture, PowerShell DSC, RPA, System...",1
Micron Technology Operations India LLP,"Troubleshooting Skills, Customer Service, Desktop Support...",1
Micron Technology Operations India LLP,"data analysis, information technology, development testing...",1
Micron Technology Operations India LLP,"operations, information technology, problem analysis, quality standards...",1
Micron Technology Operations India LLP,"replication, high availability, python, sql queries, information technology...",1
Micron Technology Operations India LLP,"risk management, IT Risk Management, Cisa, Audit Compliance...",1
Naukri Premium - Employer Services,"Team Management, Team Handling, Business Process Management, IT Risk, ITGC,...",1
NebuLogic Technologies,"development, Business Analyst, technical, configuration, methods, testing...",1
Neer Kamal Job Consultancy,"Java, Software Development, it development, hardware programming...",1
Nowcom Global Services India Pvt Ltd,"css, asp.net mvc, entity framework, ado.net, html, Front End Developer...",4
Process360 Pvt Ltd,"business ops manager, information technology, business ops executive...",1
Pyramid IT Consulting Pvt Ltd.,"head hunting, talent acquisition, us it recruitment, screening, recruitment...",10
Rroot Shell Technologies Private Limited,"Java, Business Consulting, Management Consulting, SDET, Automation Testing,...",1
Rroot Shell Technologies Private Limited,"RAC, Oracle DBA, RMAN, SQL Tuning, Exadata, Performance Tuning...",1
S-Square Data Systems Private Limited,"Dataguard, Exadata, Oracle SQL, RAC, Cloning, Oracle DBA, Patching...",1
S-Square Data Systems Private Limited,"Unix, TIBCO Administrator, TIBCO BW, Oracle Fusion Middleware, XML...",1
S2TECH.COM INDIA PVT LTD,"Design, information technology engineering, Coding, Software Engineering...",10
Spectraforce Technologies (India) Pvt. Ltd.,"us it recruiter, us it recruitment...",5
Suvarna Technosoft Pvt Ltd,"it implementation, information it implementor, information it deployment...",2
TalPro,"Cyber Security, Linux, Information Security, Security Architect, Dlp...",1
TalPro,"Cyber Security, Linux, implementation, Information Security, Dlp...",1
Talent Times Pvt Ltd,"it implementation, software implementation, Hardware Networking...",1
Talenttimes Pvt Ltd,"it implementation, software implementation, technical support...",1
Tata Communications Ltd,"Change management, Helpdesk, QOS, Service assurance, Networking...",1
Tech Mahindra Ltd.,"Bi, SQL Server, Informatica, SSIS, Thai Speaking Skill...",1
Tech Mahindra Ltd.,"SCOPE, Service Delivery Management, PMI, MPLS, Frame Relay, PMP...",1
TechKnowledgey Pte Ltd,"asp.net mvc, information technology, html5, ms sql server...",1
TechKnowledgey Pte Ltd,"css, Azure, software development, information technology, maven, it...",1
TechKnowledgey Pte Ltd,"san, it support, information technology, vmware, vcs, dns, networking...",1
Tecnics IntegrationTechnologies Pvt. Ltd.,"angular, Algorithms, information technology, performance tuning...",4
The U.S. Pharmacopeial Convention (USP),Information Technology,1
iconma Professional Services & Solution Pvt. Ltd.,"US Staffing, fresher, IT Recruitment, technical recruitment...",1
lean infotech,"Unix, Application support, Content management, development, technical...",1
