"Years","Mean","CI_Upper_Limit","CI_Lower_Limit"
"2000",279.208269230769,280.387332573059,278.029205888479
"2001",271.370461538462,272.401315221399,270.339607855524
"2002",310.700307692308,312.475717790119,308.924897594496
"2003",364.215692307692,366.94814661211,361.483238003275
"2004",409.897088122605,412.142804316843,407.651371928368
"2005",445.391846153846,448.737303516221,442.046388791471
"2006",605.034980694981,609.797720142678,600.272241247283
"2007",697.399961538462,704.596333215175,690.203589861748
"2008",872.205458015267,880.264090997192,864.146825033343
"2009",974.066475095785,984.507697726344,963.625252465227
"2010",1227.30842911877,1239.342273139,1215.27458509855
"2011",1572.72180769231,1590.77466238821,1554.66895299641
"2012",1668.74701149425,1676.41957341733,1661.07444957118
"2013",1410.07419230769,1428.06995397959,1392.07843063579
"2014",1266.23592307692,1272.3958727476,1260.07597340625
"2015",1159.93513409962,1166.91839840679,1152.95186979244
"2016",1248.36482758621,1257.30844872684,1239.42120644557
"2017",1258.41823076923,1262.63463791646,1254.201823622
"2018",1268.54320158103,1275.41056899729,1261.67583416476
